ano;cnae_2_descricao_secao;salario_medio;variable
2022;Atividades Imobiliárias;1666.03020242915;Admissões
2022;Atividades Profissionais, Científicas E Técnicas;7673.241208436724;Admissões
2022;"Comércio; Reparação De Veículos Automotores E Motocicletas";1878.7863016607907;Admissões
2022;Construção;2110.8634498023716;Admissões
2022;Educação;31993.585336648815;Admissões
2022;Indústrias De Transformação;3565.765318010699;Admissões
2022;Informação E Comunicação;3010.601768768769;Admissões
2022;Outras Atividades De Serviços;1856.047773359841;Admissões
2022;Saúde Humana E Serviços Sociais;1936.8985472794507;Admissões
2022;Transporte, Armazenagem E Correio;3043.507334671853;Admissões
2022;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1981.3389577464789;Admissões
2023;Administração Pública, Defesa E Seguridade Social;2999.842842857143;Admissões
2023;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;1641.1472;Admissões
2023;Alojamento E Alimentação;1647.557937266184;Admissões
2023;Artes, Cultura, Esporte E Recreação;2055.4325228260873;Admissões
2023;Atividades Administrativas E Serviços Complementares;1726.0819932725637;Admissões
2023;Atividades Financeiras, De Seguros E Serviços Relacionados;6278.229136245037;Admissões
2023;Atividades Imobiliárias;1834.8556851376147;Admissões
2023;Atividades Profissionais, Científicas E Técnicas;5431.68385525971;Admissões
2023;"Comércio; Reparação De Veículos Automotores E Motocicletas";1974.2958255296062;Admissões
2023;Construção;2301.101855012239;Admissões
2023;Educação;30621.706969860857;Admissões
2023;Indústrias De Transformação;2795.334777709623;Admissões
2023;Informação E Comunicação;5311.49996348955;Admissões
2023;Outras Atividades De Serviços;2155.162595636201;Admissões
2023;Saúde Humana E Serviços Sociais;1839.125123176614;Admissões
2023;Transporte, Armazenagem E Correio;2498.076239196947;Admissões
2023;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;2082.2595253731342;Admissões
2024;Administração Pública, Defesa E Seguridade Social;2993.29;Admissões
2024;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;2123.3914285714286;Admissões
2024;Alojamento E Alimentação;1955.953379101284;Admissões
2024;Artes, Cultura, Esporte E Recreação;1881.3991154791154;Admissões
2024;Atividades Administrativas E Serviços Complementares;2203.721827592257;Admissões
2024;Atividades Financeiras, De Seguros E Serviços Relacionados;9234.09873284055;Admissões
2024;Atividades Imobiliárias;1877.6448821548822;Admissões
2024;Atividades Profissionais, Científicas E Técnicas;6706.940224960877;Admissões
2024;"Comércio; Reparação De Veículos Automotores E Motocicletas";2111.006599780702;Admissões
2024;Construção;2472.3959126224527;Admissões
2024;Educação;50708.519740769836;Admissões
2024;Indústrias De Transformação;2773.483406190172;Admissões
2024;Informação E Comunicação;2713.878182543906;Admissões
2024;Outras Atividades De Serviços;2055.4607740717433;Admissões
2024;Saúde Humana E Serviços Sociais;1849.3248553916874;Admissões
2024;Transporte, Armazenagem E Correio;2541.54577328184;Admissões
2024;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;2147.478808139535;Admissões
2007;Administração Pública, Defesa E Seguridade Social;833.6073466476462;Demissões
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;637.9245283018868;Demissões
2007;Alojamento E Alimentação;632.7456453774006;Demissões
2007;Artes, Cultura, Esporte E Recreação;530.6064981949459;Demissões
2007;Atividades Administrativas E Serviços Complementares;752.1742814421;Demissões
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;2395.1007194244603;Demissões
2007;Atividades Imobiliárias;729.2763157894736;Demissões
2007;Atividades Profissionais, Científicas E Técnicas;874.753125;Demissões
2007;"Comércio; Reparação De Veículos Automotores E Motocicletas";762.4368501789671;Demissões
2007;Construção;667.3239436619718;Demissões
2007;Educação;1428.712619300106;Demissões
2007;Indústrias De Transformação;1414.0884823595295;Demissões
2007;Informação E Comunicação;1450.526371308017;Demissões
2007;Outras Atividades De Serviços;992.8843683083512;Demissões
2007;Saúde Humana E Serviços Sociais;896.558692421991;Demissões
2007;Serviços Domésticos;446.0;Demissões
2007;Transporte, Armazenagem E Correio;857.2138487888427;Demissões
2007;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;697.11875;Demissões
2008;Administração Pública, Defesa E Seguridade Social;629.1012800620636;Demissões
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;51.832068965517244;Demissões
2008;Alojamento E Alimentação;656.961678857541;Demissões
