nivel_territorial_codigo;nivel_territorial;unidade_de_medida_codigo;unidade_de_medida;pib_corrente;municipio_codigo;municipio;ano_codigo;ano;variavel_codigo;variavel;ipca_normalizado;pib_deflacionado;variavel_dash
6;Município;40;Mil Reais;16086544.0;3534401;Osasco (SP);2017;2017;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.8032616623556016;20026530.275110446;Impostos
6;Município;40;Mil Reais;1009.0;3534401;Osasco (SP);2017;2017;513;Valor adicionado bruto a preços correntes da agropecuária;0.8032616623556016;1256.128665522342;Agropecuária
6;Município;40;Mil Reais;3506091.0;3534401;Osasco (SP);2017;2017;517;Valor adicionado bruto a preços correntes da indústria;0.8032616623556016;4364818.0466104;Indústria
6;Município;40;Mil Reais;55631570.0;3534401;Osasco (SP);2017;2017;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.8032616623556016;69257095.9217173;Serviços
6;Município;40;Mil Reais;2701829.0;3534401;Osasco (SP);2017;2017;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.8032616623556016;3363572.701922264;Administração
6;Município;40;Mil Reais;76607992.0;3534401;Osasco (SP);2018;2018;37;Produto Interno Bruto a preços correntes;0.8333839746939367;91924004.21202552;Total
6;Município;40;Mil Reais;16864341.0;3534401;Osasco (SP);2018;2018;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.8333839746939367;20235979.466959983;Impostos
6;Município;40;Mil Reais;957.0;3534401;Osasco (SP);2018;2018;513;Valor adicionado bruto a preços correntes da agropecuária;0.8333839746939367;1148.3302163945039;Agropecuária
6;Município;40;Mil Reais;3408300.0;3534401;Osasco (SP);2018;2018;517;Valor adicionado bruto a preços correntes da indústria;0.8333839746939367;4089711.469736037;Indústria
6;Município;40;Mil Reais;53613518.0;3534401;Osasco (SP);2018;2018;6575;Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social;0.8333839746939367;64332312.14901842;Serviços
6;Município;40;Mil Reais;2720876.0;3534401;Osasco (SP);2018;2018;525;Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social;0.8333839746939367;3264852.7960946835;Administração
6;Município;40;Mil Reais;81908401.0;3534401;Osasco (SP);2019;2019;37;Produto Interno Bruto a preços correntes;0.8693028240032452;94223093.19415513;Total
6;Município;40;Mil Reais;17255698.0;3534401;Osasco (SP);2019;2019;543;Impostos, líquidos de subsídios, sobre produtos a preços correntes;0.8693028240032452;19850042.49788976;Impostos
6;Município;40;Mil Reais;983.0;3534401;Osasco (SP);2019;2019;513;Valor adicionado bruto a preços correntes da agropecuária;0.8693028240032452;1130.79121896;Agropecuária
6;Município;40;Mil Reais;3573884.0;3534401;Osasco (SP);2019;2019;517;Valor adicionado bruto a preços correntes da indústria;0.8693028240032452;4111207.16661408;Indústria
