ano;cnae_2_descricao_secao;saldo_movimentacao;salario_mensal
2022;Atividades Imobiliárias;-31;1707.134476190476
2022;Atividades Profissionais, Científicas E Técnicas;1969;7303.709080630344
2022;"Comércio; Reparação De Veículos Automotores E Motocicletas";-540;2149.2733030277577
2022;Construção;136;2152.8264855361995
2022;Educação;270;30160.95735578862
2022;Indústrias De Transformação;443;3670.553252512693
2022;Informação E Comunicação;582;3102.6208670615333
2022;Outras Atividades De Serviços;12;2076.660035
2022;Saúde Humana E Serviços Sociais;995;1971.068116162384
2022;Transporte, Armazenagem E Correio;1596;2799.727611909078
2022;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;102;2024.9598519736844
2023;Administração Pública, Defesa E Seguridade Social;10;3078.428247826087
2023;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-13;1619.6557142857143
2023;Alojamento E Alimentação;113;1653.4671106900012
2023;Artes, Cultura, Esporte E Recreação;61;2090.7712812339932
2023;Atividades Administrativas E Serviços Complementares;-5097;1711.517649421414
2023;Atividades Financeiras, De Seguros E Serviços Relacionados;-739;6611.234627064478
2023;Atividades Imobiliárias;-13;1907.421132650334
2023;Atividades Profissionais, Científicas E Técnicas;-506;5822.660151976551
2023;"Comércio; Reparação De Veículos Automotores E Motocicletas";-221;2043.8768905826144
2023;Construção;763;2361.2288754589777
2023;Educação;-71;30509.254414401817
2023;Indústrias De Transformação;-12;2861.3354241202924
2023;Indústrias Extrativas;-1;1697.86
2023;Informação E Comunicação;645;4804.684958028566
2023;Outras Atividades De Serviços;70;2195.022560790934
2023;Saúde Humana E Serviços Sociais;655;1885.5997381972204
2023;Transporte, Armazenagem E Correio;4703;2530.538209265562
2023;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;-17;2136.8779938864627
2024;Administração Pública, Defesa E Seguridade Social;70;3065.0373728813556
2024;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;-13;2435.672962962963
2024;Alojamento E Alimentação;123;1953.685699990985
2024;Artes, Cultura, Esporte E Recreação;-5;1991.5836385836385
