ano;cnae_2_descricao_secao;media_idade;variable
2020;Saúde Humana E Serviços Sociais;31.498371335504885;Admissões
2020;Transporte, Armazenagem E Correio;32.373080967402736;Admissões
2020;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;33.05732484076433;Admissões
2021;Administração Pública, Defesa E Seguridade Social;34.12903225806452;Admissões
2021;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;28.928571428571427;Admissões
2021;Alojamento E Alimentação;28.18692598595354;Admissões
2021;Artes, Cultura, Esporte E Recreação;30.111764705882354;Admissões
2021;Atividades Administrativas E Serviços Complementares;31.077561077179343;Admissões
2021;Atividades Financeiras, De Seguros E Serviços Relacionados;30.4845869297164;Admissões
2021;Atividades Imobiliárias;32.74193548387097;Admissões
2021;Atividades Profissionais, Científicas E Técnicas;30.370797180043382;Admissões
2021;"Comércio; Reparação De Veículos Automotores E Motocicletas";29.790655061841502;Admissões
2021;Construção;35.30778048431007;Admissões
2021;Educação;34.313292884721456;Admissões
2021;Indústrias De Transformação;32.87691401648999;Admissões
2021;Indústrias Extrativas;31.0;Admissões
2021;Informação E Comunicação;31.44046400545889;Admissões
2021;Outras Atividades De Serviços;31.590711175616836;Admissões
2021;Saúde Humana E Serviços Sociais;32.60385196374622;Admissões
2021;Transporte, Armazenagem E Correio;30.71138114526249;Admissões
2021;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;31.79268292682927;Admissões
2022;Administração Pública, Defesa E Seguridade Social;34.833333333333336;Admissões
2022;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;30.366666666666667;Admissões
2022;Alojamento E Alimentação;28.63996175908222;Admissões
2022;Artes, Cultura, Esporte E Recreação;31.733009708737864;Admissões
2022;Atividades Administrativas E Serviços Complementares;30.7649476127737;Admissões
2022;Atividades Financeiras, De Seguros E Serviços Relacionados;29.58028616852146;Admissões
2022;Atividades Imobiliárias;32.59919028340081;Admissões
2022;Atividades Profissionais, Científicas E Técnicas;30.12928039702233;Admissões
2022;"Comércio; Reparação De Veículos Automotores E Motocicletas";29.668648855286072;Admissões
2022;Construção;35.327747035573125;Admissões
2022;Educação;35.3106350420811;Admissões
2022;Indústrias De Transformação;33.20645928274222;Admissões
2022;Informação E Comunicação;33.174174174174176;Admissões
2022;Outras Atividades De Serviços;31.782306163021868;Admissões
2022;Saúde Humana E Serviços Sociais;30.190702588483887;Admissões
2022;Transporte, Armazenagem E Correio;33.40268540594805;Admissões
2022;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;34.67323943661972;Admissões
2023;Administração Pública, Defesa E Seguridade Social;35.0;Admissões
2023;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;29.24;Admissões
2023;Alojamento E Alimentação;29.180256622516556;Admissões
2023;Artes, Cultura, Esporte E Recreação;30.071739130434782;Admissões
2023;Atividades Administrativas E Serviços Complementares;31.107263574253867;Admissões
2023;Atividades Financeiras, De Seguros E Serviços Relacionados;28.575723199092455;Admissões
2023;Atividades Imobiliárias;30.821100917431192;Admissões
2023;Atividades Profissionais, Científicas E Técnicas;30.744704570791527;Admissões
2023;"Comércio; Reparação De Veículos Automotores E Motocicletas";29.783664646293392;Admissões
2023;Construção;35.5471562275018;Admissões
2023;Educação;35.1127409891031;Admissões
2023;Indústrias De Transformação;32.45282311011067;Admissões
2023;Informação E Comunicação;30.39993666877771;Admissões
2023;Outras Atividades De Serviços;32.11827956989247;Admissões
2023;Saúde Humana E Serviços Sociais;29.26894031668697;Admissões
2023;Transporte, Armazenagem E Correio;31.046752007632982;Admissões
2023;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;34.788059701492536;Admissões
2024;Administração Pública, Defesa E Seguridade Social;35.223404255319146;Admissões
